file_path,file_name,category,label
data/testing/unknown.2n0oilbh.ingestion-6bb8c4b5ff-qd8th.wav,unknown.2n0oilbh,testing,unknown
data/testing/unknown.2n0ojhbi.ingestion-6bb8c4b5ff-wgdrv.wav,unknown.2n0ojhbi,testing,unknown
data/testing/testing.2qqg3ocq.ingestion-5b6b8dfb4f-cqq49.wav,testing.2qqg3ocq,testing,testing
data/testing/idling.2qshkrkf.ingestion-5b6b8dfb4f-5q62p.wav,idling.2qshkrkf,testing,idling
data/testing/Background Noise.2qsjpan6.ingestion-5b6b8dfb4f-5q62p.wav,Background Noise.2qsjpan6,testing,Background Noise
data/training/normal engine inside cabin.2q8n8mk2.ingestion-8bc844dc9-9gdvp.wav,normal engine inside cabin.2q8n8mk2,training,normal engine inside cabin
data/training/normal engine inside cabin.2q8nagl9.ingestion-8bc844dc9-gcb5t.wav,normal engine inside cabin.2q8nagl9,training,normal engine inside cabin
data/training/air leak engine inside cabin.2q8ncuva.ingestion-8bc844dc9-zdrjt.wav,air leak engine inside cabin.2q8ncuva,training,air leak engine inside cabin
data/training/air leak engine inside cabin.2q8ndl7k.ingestion-8bc844dc9-9gdvp.wav,air leak engine inside cabin.2q8ndl7k,training,air leak engine inside cabin
data/training/oil cap off engine inside cabin.2q8ngkdt.ingestion-8bc844dc9-gcb5t.wav,oil cap off engine inside cabin.2q8ngkdt,training,oil cap off engine inside cabin
data/training/oil cap off engine inside cabin.2q8nh9g4.ingestion-8bc844dc9-zdrjt.wav,oil cap off engine inside cabin.2q8nh9g4,training,oil cap off engine inside cabin
data/training/oil cap off engine inside cabin.2q8nhura.ingestion-8bc844dc9-gcb5t.wav,oil cap off engine inside cabin.2q8nhura,training,oil cap off engine inside cabin
data/training/oil cap off engine inside cabin.2q8nikqi.ingestion-8bc844dc9-9gdvp.wav,oil cap off engine inside cabin.2q8nikqi,training,oil cap off engine inside cabin
data/training/Background Noise.2qqg6i7t.ingestion-5b6b8dfb4f-5q62p.wav,Background Noise.2qqg6i7t,training,Background Noise
data/training/Background Noise.2qqg77a3.ingestion-5b6b8dfb4f-5q62p.wav,Background Noise.2qqg77a3,training,Background Noise
data/training/Background Noise.2qqg7sbg.ingestion-5b6b8dfb4f-d6kkk.wav,Background Noise.2qqg7sbg,training,Background Noise
data/training/Background Noise.2qqgafi3.ingestion-5b6b8dfb4f-cqq49.wav,Background Noise.2qqgafi3,training,Background Noise
data/training/idling.2qshkn5g.ingestion-5b6b8dfb4f-d6kkk.wav,idling.2qshkn5g,training,idling
data/training/normal engine inside cabin.2qsi3v93.ingestion-5b6b8dfb4f-cqq49.wav,normal engine inside cabin.2qsi3v93,training,normal engine inside cabin
data/training/idling.2qsi6t3v.ingestion-5b6b8dfb4f-d6kkk.wav,idling.2qsi6t3v,training,idling
data/training/idling.2qsi88vo.ingestion-5b6b8dfb4f-5q62p.wav,idling.2qsi88vo,training,idling
data/training/idling.2qsi9it3.ingestion-5b6b8dfb4f-d6kkk.wav,idling.2qsi9it3,training,idling
data/training/idling.2qsiat0n.ingestion-5b6b8dfb4f-cqq49.wav,idling.2qsiat0n,training,idling
data/training/idling.2qsie33u.ingestion-5b6b8dfb4f-cqq49.wav,idling.2qsie33u,training,idling
data/training/normal engine inside cabin.2qsienhj.ingestion-5b6b8dfb4f-cqq49.wav,normal engine inside cabin.2qsienhj,training,normal engine inside cabin
data/training/air leak engine inside cabin.2qsip043.ingestion-5b6b8dfb4f-d6kkk.wav,air leak engine inside cabin.2qsip043,training,air leak engine inside cabin
data/training/air leak engine inside cabin.2qsiq99b.ingestion-5b6b8dfb4f-cqq49.wav,air leak engine inside cabin.2qsiq99b,training,air leak engine inside cabin
data/training/air leak engine inside cabin.2qsirhus.ingestion-5b6b8dfb4f-d6kkk.wav,air leak engine inside cabin.2qsirhus,training,air leak engine inside cabin
data/training/air leak engine inside cabin.2qsisr29.ingestion-5b6b8dfb4f-cqq49.wav,air leak engine inside cabin.2qsisr29,training,air leak engine inside cabin
data/training/air leak.2qsitsbp.ingestion-5b6b8dfb4f-d6kkk.wav,air leak.2qsitsbp,training,air leak
data/training/air leak engine inside cabin.2qsiu8h1.ingestion-5b6b8dfb4f-cqq49.wav,air leak engine inside cabin.2qsiu8h1,training,air leak engine inside cabin
data/training/air leak engine inside cabin.2qsivgiq.ingestion-5b6b8dfb4f-5q62p.wav,air leak engine inside cabin.2qsivgiq,training,air leak engine inside cabin
data/training/air leak engine inside cabin.2qsj1dsi.ingestion-5b6b8dfb4f-cqq49.wav,air leak engine inside cabin.2qsj1dsi,training,air leak engine inside cabin
data/training/air leak.2qsj2lmb.ingestion-5b6b8dfb4f-cqq49.wav,air leak.2qsj2lmb,training,air leak
data/training/air leak.2qsj4349.ingestion-5b6b8dfb4f-cqq49.wav,air leak.2qsj4349,training,air leak
data/training/air leak.2qsj66p9.ingestion-5b6b8dfb4f-5q62p.wav,air leak.2qsj66p9,training,air leak
data/training/Background Noise.2qsj6mi0.ingestion-5b6b8dfb4f-d6kkk.wav,Background Noise.2qsj6mi0,training,Background Noise
data/training/Background Noise.2qsj7vbd.ingestion-5b6b8dfb4f-cqq49.wav,Background Noise.2qsj7vbd,training,Background Noise
data/training/background noise.2qsjj947.ingestion-5b6b8dfb4f-cqq49.wav,background noise.2qsjj947,training,background noise
